S/No,Hausa,Polarity,English
3368,bayi suka tafi,neutral,the slaves left
3369,bayinsa sunzo,neutral,his servants arrive
3370,bayyana a cikin jaka,positive,clear in the bag
3371,bayyana abin da ya faru,neutral,explain what happened
3372,bayyana farin ciki,positive,express joy
3373,bayyana halin da ake ciki,neutral,explain the situation
3374,bayyana kalmomi na,neutral,outline my words
3375,bayyana karya,neutral,exposing lies
3376,bayyana shi,neutral,explain it
3377,bayyana wace,neutral,exposure
3378,bayyana wani abu mara kyau,negative,explain something negative
3379,bayyanar cututtuka,neutral,manifestations of disease
3380,bayyanar gani,positive,a clear view
3381,bayyanar kalmomi,negative,explicit words
3382,bazara ce,positive,it is a prodigy
3383,bazawara e,neutral,a widow
3384,bedlam ya kwanta,negative,the bedlam was bedlam
3385,bedlamite mai gado ne,neutral,the bedlamite is a bedlamite
3386,bedroom yana da gado,neutral,the bedroom has a bed
3387,bedroom yana da katifa,neutral,the bedroom has a mattress
3388,bee yana da kirki,positive,bee is kind
3389,benci mai daraja,positive,a precious bench
3390,bene ne,neutral,a floor
3391,bi a hankali,negative,follow slowly
3392,bi ka'idodin daidaitawa,neutral,adhere to the rules harmonize
3393,bi tare,neutral,follow along
3394,bi umarnin,neutral,follow the instructions
3395,bidi'a ce,negative,it's heresy
3396,bidi'a ce wannan,negative,it is innovation
3397,bidiyon bidiyo ne,neutral,the video is a video
3398,bijimai buga,negative,bulls hit
3399,bijimi ne,neutral,a bull
3400,bijirewa a gaban wahala,negative,defiance in the face of adversity
3401,bijirewa 'yan sanda ne,negative,it is a police defiance
3402,biki mai dadi,positive,a delicious feast
3403,biki mai suna kirsimeti,neutral,a holiday called christmas
3404,biki ne,positive,it is a celebration
3405,biki ne da aka shirya sosai,positive,it is a well organized holiday
3406,biki ne mai dadi,positive,it is a fun holiday
3407,biki ne na annashuwa,positive,it is a joyful celebration
3408,biki ne na shekara-shekara,neutral,it's an annual event
3409,bikin amarya,neutral,the bride's wedding
3410,bikin aure,neutral,the wedding
3411,bikin aure na musamman,positive,a special wedding
3412,bikin aure ne,positive,it is a wedding ceremony
3413,bikin ban mamaki,positive,a surprise party
3414,bikin dinner ne,neutral,it is a dinner party
3415,bin sa,neutral,following him
3416,bincike na yana da kyau,neutral,my research is thorough
3417,bincike ne,neutral,it is research
3418,binciken game da wani abu ne,neutral,the survey is about something
3419,binciken laifuka,negative,criminal investigation
3420,bindiga ce,neutral,it is a gun
3421,bindigan revolver,neutral,a revolver gun
3422,bindigar bindiga ce,neutral,the rifle is a rifle
3423,birki ne,neutral,it is a brake
3424,birki suka yi,neutral,their brakes are done
3425,birki suka yi suka fice,negative,they braked and left
3426,birkin babur,negative,a motorcycle brake
3427,birni ne,neutral,it is urban
3428,bisa doka da oda,neutral,according to law and order
3429,bisa yarda da yarda,positive,based on approval and approval
3430,bita shi,neutral,review it
3431,biya ce,neutral,it is a payment
3432,biya mai kyau,positive,good pay
3433,biya ne,neutral,it's pay
3434,biya suke,neutral,they pay
3435,biyan da ba a cika ba,negative,incomplete payment
3436,biyan haraji,neutral,paying taxes
3437,biyan ku,neutral,your payment
3438,biyan kudi don tallafi,negative,paying for subsidizing
3439,biyan riba,positive,paying interest
3440,biyar daga cikinsu,neutral,five of them
3441,biyayya ce,neutral,obedience
3442,biye haka,neutral,pursue like that
3443,blackjack ba shi da kyau,negative,blackjack is not good
3444,bogi ne,negative,it's bogus
3445,bokitin mugunta,negative,the bucket of evil
3446,bomb da su,negative,bombard them
3447,bone ya tabbata ga ma'aikata,negative,woe to the workers
3448,botch ne,negative,it's botch
3449,boye ne,negative,is hidden
3450,bude get,neutral,open the get
3451,bude kofa,neutral,open the door
3452,budewa yana faruwa,neutral,the opening is happening
3453,budewa yayi,neutral,the opening was made
3454,budi ne mai dadi,positive,it is a fun opening
3455,budurwa,positive,a young woman
3456,budurwa ce,neutral,she is a virgin
3457,budurwa mai daraja,positive,a precious virgin
3458,budurwa ne,neutral,they are virgins
3459,buga ba daidai ba ne,negative,the blow is not right
3460,buga kwallon,positive,scoring the ball
3461,buga shi,neutral,print it
3462,bugawa a tsare,neutral,publications in custody
3463,bugawa ce,neutral,it is a publication
3464,bugawa ne,neutral,it's publication
3465,buggy karami ne,negative,the buggy is small
3466,buggy yana buggy,negative,the buggy is buggy
3467,bugu bar,neutral,kick bar
3468,bugu da kari,neutral,further
3469,bukatar gargadi,neutral,require exhort
3470,bukatar ku,neutral,your request
3471,bukatar ta,neutral,her need
3472,bukatar tsari,neutral,require regulate
3473,bukkoki ne,neutral,tabernacles
3474,bukukuwa ne,neutral,the festivities
3475,bulala ne,neutral,is cane
3476,bulala sosai,positive,whip it very well
3477,bulo mai inganci,neutral,quality brick
3478,bulo mai karfi,positive,strong brick
3479,burge ni,neutral,impress me
3480,buri mafi kyau,positive,best wishes
3481,buri nama ne,neutral,desires are flesh
3482,buri ne,positive,it is a goal
3483,burin kowa,positive,impress everyone
3484,burin ku,neutral,your wish
3485,burin mutum ne ya sami buri,neutral,it is the aspiration of the person to have ambitions
3486,burina de,neutral,my dream
3487,busa hancin mugunta,negative,blow the nose of evil
3488,busa kogon don mugunta,negative,blow the cave for evil
3489,bushewa ce,negative,dryness
3490,bututu ne,neutral,it is a pipe
3491,can gurin,neutral,there
3492,canary mai kyau,positive,a good canary
3493,cancanta kuma mai girma,positive,worthy and great
3494,cancantar yabo,positive,worthy of praise
3495,canja wurin ma'aikatan gwamnati,neutral,transfer of government employees
3496,canja wurin ne,neutral,it is a transfer
3497,canji daga malami,neutral,change from teacher
3498,canji ne,neutral,it is a change
3499,canji ne mai dagawa,positive,it's an uplifting change
3500,canjin bazawara ce,neutral,it is a widow's exchange
3501,canjin jami'an gwamnati,neutral,change of government officials
3502,canjin makiyaya ne,neutral,it is a pastoral change
3503,canjin malaman addini,neutral,change of religious teachers
3504,canjin manoma ne,neutral,it is a farmer's exchange
3505,canjin ra'ayi zuwa mai kyau,positive,a change of opinion to a positive one
3506,canjin ya yi,neutral,the shift is done
3507,canjin yara ne,neutral,it is a child exchange
3508,canjin yarinya ce,neutral,it is a girl's exchange
3509,canjin yaro ne,neutral,it is a child's exchange
3510,canza abubuwa,neutral,changing things
3511,canza tunanin ku,neutral,change your mind
3512,canza zuwa mai kyau,positive,change to good
3513,canza zuwa wani abu,neutral,transform into something
3514,canza zuwa wani abu dabam,neutral,transform into something else
3515,cat yana da fur,neutral,the cat has fur
3516,cat yana da girma,neutral,the cat is large
3517,cats suna da kiba,negative,the cats are fat
3518,ce wani abu,neutral,say something
3519,cece mu,neutral,save us
3520,ceton kudi,neutral,saving money
3521,ceton rai,positive,salvation of life
3522,cewa a shekarun yaushe,neutral,that at the age of when
3523,chide yayi chide,positive,the chide was chide
3524,chocolate mai dadi,positive,sweet chocolate
3525,chocolate ne,neutral,it is chocolate
3526,ci baya ne,negative,it's backwardness
3527,ci damuwa,neutral,feel depression
3528,ci gaba,neutral,go ahead
3529,ci gaba da aiki,positive,keep busy
3530,ci gaba da kyawawan abubuwa,positive,keep up the good stuff
3531,ci gaba da rubutu,neutral,keep writing
3532,ci gaba da yara aiki,positive,keep the kids busy
3533,ci gaba da yi,neutral,go ahead and do it
3534,ci gaba ne,neutral,it's development
3535,ci gaba shine katsewa,negative,the continuity is discontinuity
3536,ci gaba yana nan,positive,the continuity is there
3537,ci gaban aiki,positive,work progress
3538,ci gaban sana'a,positive,professional development
3539,ci uwarsu,negative,eat their mother
3540,ci zuma-zuma,neutral,ci honey-honey
3541,cibiyar ce,neutral,it is an institution
3542,cibiyar sadarwa na cibiyoyin sadarwa,neutral,a network of networks
3543,cibiyar sadarwa ta kasance,neutral,communication station
3544,cika da kasa,neutral,fill the pitch with sand
3545,cika da wasu,neutral,complement with others
3546,cika magudanar ruwa da ruwa,neutral,fill the sink with water
3547,cika ne,neutral,it is fulfillment
3548,cika roba da madara,neutral,fill rubber with milk
3549,cika wani,neutral,fill another one
3550,cikakke ne,positive,perfect
3551,cikakken abin hawa,neutral,complete vehicle
3552,cikakken abin sha,positive,a perfect drink
3553,cikakken abinci ne,positive,it is a complete meal
3554,cikakken ado,positive,perfect decoration
3555,cikakken aiki,positive,perfect job
3556,cikakken aji ne,positive,it is a perfect class
3557,cikakken alade ne,positive,it is a perfect pig
3558,cikakken bayani ne,positive,it is a complete explanation
3559,cikakken girman,neutral,full size
3560,cikakken hujja,positive,full proof
3561,cikakken jaddadawa,negative,absolutely emphatic
3562,cikakken jawabin malam,neutral,the full speech of the master
3563,cikakken ka'ida ce,neutral,it is a complete rule
3564,cikakken karna,negative,absolutely devastating
3565,cikakken kirki,positive,perfectly kind
3566,cikakken koyarwa ce,positive,it is a complete teaching
3567,cikakken kwano ne,positive,it is a perfect bowl
3568,cikakken kyakkyawan abu,positive,absolutely beautiful item
3569,cikakken kyakkyawan magana,positive,absolutely beautiful speech
3570,cikakken littafi ne,positive,it is a complete book
3571,cikakken magana,positive,perfect talking point
3572,cikakken mai kula da yara,positive,the perfect babysitter
3573,cikakken malamin coci,positive,a perfect church teacher
3574,cikakken malamin firamare,positive,the perfect elementary teacher
3575,cikakken malamin makaranta,positive,the perfect school teacher
3576,cikakken matafiyi ne,positive,it is a perfect traveler
3577,cikakken rahoto ne,positive,it is a comprehensive report
3578,cikakken rashin mutunci,negative,completely disrespectful
3579,cikakken rubutu ne,neutral,it is a complete text
3580,cikakken tebur ne,positive,it is a perfect table
3581,cikakken tsari ne,positive,it is a perfect proposal
3582,cikar abin,neutral,the fullness of the thing
3583,cikawa ne,neutral,fulfillment
3584,cike da adalci,positive,full of justice
3585,cike da annashuwa,positive,full of relaxation
3586,cike da damuwa,neutral,full of anxiety
3587,cike da daukaka,positive,full of glory
3588,cike da farin ciki,positive,full of joy
3589,cike da farin ciki game da shi,positive,excited about it
3590,cike da furanni,positive,full of flowers
3591,cike da fushi,negative,full of anger
3592,cike da gaskiya,neutral,full of facts
3593,cike da lada,positive,full of rewards
3594,cike da sha'awa,positive,full of passion
3595,ciki a wani abu,negative,heckles at something
3596,ciki babba ne,neutral,the stomach is large
3597,ciki daya,neutral,one stomach
3598,ciki har da kari,neutral,including pluses
3599,ciki na mace,neutral,a woman's belly
3600,ciki ne,neutral,inside
3601,cikin amincewa,positive,in confidence
3602,cikin aminci,positive,in peace
3603,cikin bakin,negative,a nerd
3604,cikin bakin ciki,negative,in grief
3605,cikin damuwa da abinda ke shirin faruwa,negative,anxious about what's going to happen
3606,cikin damuwa don sanin abin da zai faru,negative,anxious to know what will happen
3607,cikin farin ciki,positive,in happiness
3608,cikin fushi,negative,in anger
3609,cikin fushi abun yayi ja,negative,"in anger, the thing is red"
3610,cikin fushi dabbar ta ci,negative,"in anger, the animal ate"
3611,cikin fushi dabbar ta sha,negative,"in anger, the animal drank"
3612,cikin fushi kura ta shanye,negative,"in anger, the dust was absorbed"
3613,cikin gaggawa,neutral,in a hurry
3614,cikin girmamawa tunani,positive,reverently thought out
3615,cikin girman kai,positive,in pride
3616,cikin hakuri,positive,in patience
3617,cikin hikima,positive,wisely
3618,cikin jin dadi,positive,in feeling great
3619,cikin jin haushi haka ne,negative,"grumpily, that's right"
3620,cikin kunya,negative,in shame
3621,cikin nadama,neutral,in regret
3622,cikin tsoro,negative,in fear
3623,cikin yanayi na tashin hankali,negative,in a state of tension
3624,cikin yanayi na tunzura,neutral,in a state of incitement
3625,cimma manufa mai kyau,positive,achieve a good goal
3626,cimma nasara,positive,achieve success
3627,cimmawa ce,positive,it is accomplishment
3628,cin abinci,positive,eating food
3629,cin abinci da yawa,neutral,eating a lot
3630,cin abinci mai guba,neutral,eating toxic food
3631,cin amana,negative,betrayal
3632,cin amana ce,negative,betrayal
3633,cin amanar amurkawa ce,negative,it is the betrayal of the americans
3634,cin amanar budurwa ce,negative,it is the betrayal of a young woman
3635,cin amanar dangin ku,negative,betraying your family
3636,cin amanar dattawan mata,negative,the betrayal of female elders
3637,cin amanar diyata ce,negative,it is the betrayal of my daughter
3638,cin amanar manyan mata,negative,the betrayal of older women
3639,cin amanar masoya ne,negative,it is the betrayal of lovers
3640,cin amanar mata ne,negative,it is the betrayal of women
3641,cin amanar maza ne,negative,it is men's betrayal
3642,cin amanar saurayi ne,negative,it is a betrayal of a young man
3643,cin amanar ta kenan,negative,that is her betrayal
3644,cin amanar 'yan daba ,negative,it is the betrayal of the gang
3645,cin amanar yaro ne,negative,it is a child's betrayal
3646,cin ciki,neutral,eating the stomach
3647,cin gyada mai dadi,positive,eating delicious peanuts
3648,cin hanci abu ne da za a iya yi,negative,bribery is something that can be done
3649,cin hanci ba shi da kyau,negative,bribery is not good
3650,cin hanci da rashawa,negative,corruption
3651,cin hanci da rashawa ne,negative,it is corrupt
3652,cin karo da barawo,negative,an encounter with theft
3653,cin kwano,neutral,eating a bowl
3654,cin mutunci ne,negative,it's a defamation
3655,cin mutunci sosai,negative,violation of the honor very much
3656,cin mutuncin jama'a,negative,a public insult
3657,cin mutuncin mutum,negative,violating a person's dignity
3658,cin naman mutane,negative,cannibalism
3659,cin nasara,positive,getting success
3660,cin rigima ce,negative,castigate is a controversy
3661,cin zalunci,positive,eating cruelly
3662,cin zarafi,neutral,violation
3663,cin zarafi ne,negative,it's a violation of the rules
3664,cin zarafin jinsi,negative,gender-based violence
3665,ciniki ne na walda,neutral,it is a trade of welders
3666,cinikina na tausayi ne,neutral,my trade is for compassion
3667,cinya ce mara lafiya,negative,it is a sick thigh
3668,cire abu,positive,illuminate
3669,cire hannun,neutral,remove the hand
3670,cire hasumiya,neutral,remove the tower
3671,cire jinjirin wata,neutral,remove the crescent moon
3672,cire sashin jiki,neutral,remove a body part
3673,cire shi,negative,remove him
3674,cirewa ne,neutral,deduction
3675,ciwo a hannu,negative,pain in the hands
3676,ciwo a jiki,negative,pain in the body
3677,ciwo daga saman jiki,negative,pain from upper body
3678,ciwo mai nauyi,negative,heavy pain
3679,ciwo mai tsanani,negative,severe pain
3680,ciwo ne,negative,it's an ailment
3681,ciwon baya,negative,back pain
3682,ciwon baya ne,negative,it's backache
3683,ciwon ciki,negative,abdominal pain
3684,ciwon ciki ba shi da kyau,negative,stomach ulcer is not good
3685,ciwon ciki ne,negative,it is a stomachache
3686,ciwon daji,negative,cancer
3687,ciwon jarirai,neutral,infant colic
3688,ciwon kai,negative,headache
3689,ciwon ku,negative,your pain
3690,ciwon kunne,negative,earache
3691,ciwon ma'aikaci ne,negative,it is a worker's disease
3692,ciwon ma'aurata ne,negative,it is a couple's disease
3693,ciwon mace,negative,a woman's pain
3694,ciwon mafitsara,negative,bladder infection
3695,ciwon makogwaro,negative,a sore throat
3696,ciwon mantuwa,neutral,forgetfulness syndrome
3697,ciwon nonuwa,negative,sore nipples
3698,ciwon wuya ba shi da kyau,negative,neck pain is not good
3699,ciwon yara,negative,children's disease
3700,ciwon zuciya,negative,heartbreak
3701,ciyar da abinci,positive,feed the food
3702,ciyarwa ce ,positive,feed
3703,ciyawa ce,neutral,it is grass
3704,cizo kare,negative,dog bite
3705,cizon abu,negative,bite
3706,cizon wani abu,negative,gnawing on something
3707,cizon yaro,negative,a child's bite
3708,cocin yana da gini,neutral,the church has a building
3709,cuku ne,neutral,it is cheese
3710,cunkoso ne,negative,it's congestion
3711,cunkoson ababen hawa,negative,vehicle congestion
3712,cuta ce,negative,it's a disease
3713,cuta ce ,negative,the disease
3714,cuta ce ta hukuma,negative,corruption of authorities
3715,cuta ce ta zebra,negative,it is a disease of the zebra
3716,cuta mai laushi,negative,mild disease
3717,cuta ne,negative,disease
3718,cuta ta yi,negative,disease has done
3719,cutar amurka,negative,the american disease
3720,cutar arna ce,negative,it is a pagan disease
3721,cutar arteries,negative,disease of the arteries
3722,cutar azzalumai,negative,the disease of the oppressors
3723,cutar ciki,negative,disease of the stomach
3724,cutar cizon kare,negative,dog bite disease
3725,cutar cututtukan zuciya,negative,cardiovascular disease
3726,cutar faransa,negative,the french disease
3727,cutar fyade,negative,rape disease
3728,cutar guna ce,negative,farming disease
3729,cutar inji ce,negative,it is a mechanical disease
3730,cutar jamus,negative,german disease
3731,cutar kafinta,negative,carpenters disease
3732,cutar kananan yara,negative,the disease of the little ones
3733,cutar kuruciya,negative,a disease of youth
3734,cutar magini ce,negative,it is a builder's disease
3735,cutar mahauta ce,negative,it is a butcher's disease
3736,cutar mata,negative,a disease of women
3737,cutar maza,negative,men's disease
3738,cutar mazinata,negative,the disease of adulterers
3739,cutar mutanen kauye,negative,the disease of the villagers
3740,cutar sankarar bargo,negative,leukemia
3741,cutar swazi,negative,swazi disease
3742,cutar ta halatta,negative,the disease is legal
3743,cutar ta kasance makirci,negative,the disease is a conspiracy
3744,cutar zamani ce,negative,it is an era disease
3745,cutarwa ce,negative,harmful
3746,cututtuka ce,negative,the diseases
3747,cututtuka masu yaduwa,negative,infectious diseases
3748,cututtuka na kowa,negative,common diseases
3749,cututtukan malamai,negative,disease of teachers
3750,cututtukan tumaki da awaki,negative,diseases of sheep and goats
3751,da adalci,positive,there is justice
3752,da alama,neutral,it seems like
3753,da alama karkacewa daga al'ada,negative,seemingly deviating from the norm
3754,da alama mai karfin zuciya,positive,seemingly audaciously
3755,da alama mai rudani,negative,seemingly disruptive
3756,da alama rashin aminci,negative,seemingly disloyal
3757,da alama ta katse,negative,seemingly brazen
3758,da alama yaudara,negative,seemingly deviously
3759,da albarka,positive,there is blessing
3760,da alheri,positive,with kindness
3761,da an fi so,negative,it would be preferred
3762,da annashuwa,positive,and relaxed
3763,da ban mamaki,negative,quite freakishly
3764,da bindiga agun,neutral,there is gun
3765,da bulala yazo,neutral,came with whip
3766,da ceri,neutral,the cherry
3767,da dabara,positive,tactfully
3768,da dabara aka yi shi,positive,it was craftily done
3769,da dai sauransu,neutral,rest of the them
3770,da dama daga cikinsu,neutral,several of them
3771,da dandano,neutral,there is taste
3772,da dandanonsa ,positive,his taste
3773,da darajar,neutral,the value
3774,da datti,negative,dirty
3775,da datti sosai,negative,very dirty
3776,da dukiya,neutral,with wealth
3777,da fara'a,positive,the charm
3778,da fargaba,positive,the apprehension
3779,da farko shi ne na farko,neutral,"initially, it was initial"
3780,da farko ya kasance,neutral,"initially, it was"
3781,da fatan za a gyara,neutral,please fix it
3782,da fatan za a mika shi,neutral,please submit it
3783,da fatan za a sanar,neutral,please inform
3784,da fatan za a tambaya,neutral,please ask
3785,da gangan,negative,deliberately
3786,da gaske,negative,very fatuously
3787,da gaske ne,neutral,it was genuine
3788,da gaske sosai,negative,quite egregiously
3789,da gaske yaudara,negative,really deviously
3790,da gaskiya,positive,to be honest
3791,da hankalina,positive,my good spirits
3792,da hatsi,neutral,the grain
3793,da hikima,positive,has wisdom
3794,da iko,neutral,with power
3795,da inganci,positive,excellence
3796,da kaina ina yi,neutral,"personally, i do"
3797,da kaina ni ne,neutral,"personally, i am"
3798,da karfi sosai,neutral,very strongly
3799,da karfinsa,neutral,his strength
3800,da karshe tsoho ne,positive,final is an old man
3801,da kawa,positive,the splendor
3802,da kayan yaji,negative,the seasoned
3803,da kishinsa,positive,his jealousy
3804,da kokarinsa,positive,his efforts
3805,da ku da masu laifi,negative,had you and criminals
3806,da kuma karawa,neutral,and tightening
3807,da kyar take rarrafe,positive,barely crawling
3808,da kyau,positive,nice shot
3809,da kyau da salati,positive,thoroughly and salutary
3810,da kyau hali,positive,well mannered
3811,da kyau kiwo,neutral,well bred
3812,da kyau- sarrafa,positive,well- managed
3813,da kyau sosai,positive,very well
3814,da kyau tunani,positive,well thought out
3815,da ladabi,positive,the politeness
3816,da miyagun kwayoyi ecstasy,negative,the drug ecstasy
3817,da murna,positive,with joy
3818,da na sani,neutral,i regret
3819,da nagarta,positive,the virtue
3820,da pep,neutral,it's pep
3821,da rabin zuciya aka yi,negative,it was halfheartedly done
3822,da rahama,neutral,with mercy
3823,da rauninsa,negative,his weakness
3824,da rikici,negative,there is conflict
3825,da sana'a shirya,neutral,professionally prepared
3826,da sauri ,neutral,it fast
3827,da sauri sosai,positive,very fast
3828,da sauti,positive,re sound
3829,da solicitly ne,neutral,it was solicitously
3830,da sunan su,neutral,in their name
3831,da tsammanin,neutral,the expectation
3832,da tsare-tsare,positive,meticulously planned
3833,da tsauri sosai,negative,very harshly
3834,da tsoro,negative,with fear
3835,da wahala sosai,negative,very difficult
3836,da wauta,negative,with stupidity
3837,da wayo ake yi,positive,it is cleverly done
3838,da wuri,neutral,early on
3839,da wuri ne,negative,it was early
3840,da wuya,negative,it's difficult
3841,da wuya a fahimta,negative,hard to understand
3842,da wuya a samu,negative,hard to find
3843,da ya yi,positive,he would have done it
3844,da yaddan allah,positive,god willing
3845,da yake bunkasa,positive,being flourishing
3846,da yawa,neutral,a lot
3847,da yawa almubazzaranci,positive,quite extravagantly
3848,da yawa ne,positive,many
3849,da yawa suna ko'ina,neutral,many are widely
3850,da zafi,negative,there is heat
3851,da zalunci,negative,and oppression
3852,da zaran an yi,neutral,as soon as it was done
3853,da zarar an ci,neutral,once eaten
3854,da zarar gaskiya,positive,"once upon a time, honesty"
3855,da zarar mun kara karfi,neutral,once we get stronger
3856,da zuciya daya,positive,with one heart
3857,da'awa ce,neutral,it is a claim
3858,daban daban,neutral,different
3859,daban-daban dabaru masu kyau,positive,a variety of good techniques
3860,daban-daban don mugunta,negative,variety for evil
3861,daban-daban masu kyau,positive,different good ones
3862,daban-daban sosai,neutral,very different
3863,dabara ce,neutral,it's tactic
3864,dabarar yaudara ce,negative,the guile is guile
3865,dabaru ce,neutral,logic
3866,dabarun na motsi,neutral,the wheel is moving
3867,dabba ce,neutral,it is an animal
3868,dabba ce kyakkyawa,positive,it is a beautiful animal
3869,dabba ce mai gamsarwa,positive,it is a satisfying animal
3870,dabba ce mai lafiya,positive,it is a healthy animal
3871,dabba da dabba,neutral,animal and animal
3872,dabba mai aminci,positive,a faithful animal
3873,dabbar daji mai zafi,positive,a fiery wild beast
3874,dabbobi ne masu kyau,positive,they are beautiful animals
3875,dabbobi ne matalauta,negative,they are poor animals
3876,dabbobin gida,neutral,a pet
3877,dabbobin ya mutu,neutral,the pet died
3878,dabi'a ce,neutral,it is a virtue
3879,dabiâ'ar shugaban kasa ce,neutral,it is the president's discipline
3880,dabi'ar magini ne,neutral,it is a builder's discipline
3881,dabi'ar malaman coci,neutral,the discipline of church teachers
3882,dabiâ'un ministoci ne,neutral,it is the discipline of ministers
3883,dabi'un dattijai ne,positive,it is the discipline of the elders
3884,dabi'un jajirtattu ne,positive,it is the discipline of the brave
3885,daburbura ce,neutral,dabbling
3886,dace da sababbin abubuwa,neutral,adapt to new things
3887,dace ne,positive,appropriate
3888,dacewa ce,neutral,fitness
3889,dacewa ne,positive,convenient
3890,dacewar abu ne mai kyau,positive,suitability is a good thing
3891,daci ce,negative,bitter
3892,daci ne,negative,it's bitterness
3893,dadi sosai,positive,very tasty
3894,dadin garin ne,neutral,it is the taste of the town
3895,dadin manomi,positive,farmer's pleasure
3896,dafa abinci,neutral,cooking food
3897,dafa abinci mai dadi,positive,cook delicious food
3898,dafa abinci yana da kyau sosai,positive,cooking is very good
3899,dafin maciji ne,neutral,it is snake venom
3900,daftari ne,neutral,it is a draft
3901,daga baya,neutral,later
3902,daga karshe shi ke nan,neutral,"ultimately, that's what"
3903,daga ra'ayi,neutral,from a point of view
3904,dagawa ne,neutral,a lift
3905,dagewa ce,neutral,persistence
3906,dagwalan guba,negative,lead poisoning
3907,dagwalan guban karfe,negative,metal lead poisoning
3908,daidai abin da yake kenan,neutral,"exactly, that's what it is"
3909,daidai akan daidai,neutral,equal on equal
3910,daidai daidai ne,positive,"correct, that's correct"
3911,daidai dama?,neutral,"correct, right?"
3912,daidai haka ne,neutral,"exactly, that's right"
3913,daidai ne,neutral,it is fairly
3914,daidai ne cikakke,neutral,it is absolutely correct
3915,daidai yake da daidai,neutral,it's the same as equal
3916,daidaita a kai,neutral,adjust on it
3917,daidaita nisa,neutral,adjust the distance
3918,daidaita wa,neutral,coincide
3919,daidaitaccen ma'auni,neutral,equal balance
3920,daidaitawa ne,neutral,it's orientation
3921,daidaiton jinsi,neutral,gender equality
3922,daji mai guba,negative,a poisonous bush
3923,daji ne,neutral,it is wild
3924,dajin yana waje,neutral,the forest is outdoors
3925,dakatar da aiki,neutral,stop working
3926,dakatar da motsi,neutral,stop moving
3927,dakatar da shi,neutral,stop it
3928,dake mu,negative,beat us
3929,daki a tsare,neutral,room in custody
3930,daki cikakke ne,positive,it is a perfect room
3931,daki mai daraja,positive,a precious room
3932,daki mai kyau,positive,nice room
3933,daki ne a shirye,positive,it is a ready room
3934,daki ne mai tsafta,positive,it is a clean room
3935,dakin girki,neutral,the kitchen
3936,dakin gwaji da aka tsara sosai,positive,a well-designed test room
3937,dakin makamai,negative,artillery
3938,dakin sojoji yana tsare,neutral,the soldiers' room is in custody
3939,dakin 'yan sanda a tsare,neutral,police room in custody
3940,dakin yayi duhu,neutral,the room was darkened
3941,dala hamsin,neutral,fifty dollars
3942,dalibai fa?,neutral,what about students?
3943,daliban sun lalace,negative,the students are corrupt
3944,dalibi kyauta,positive,a free student
3945,dalibi mai hakuri,positive,a patient student
3946,dalibi mai lafiya,positive,a healthy student
3947,dalilai masu kyau,neutral,very good reasons
3948,dalili ne,neutral,it's a reason
3949,dalilin rashin jituwa,neutral,reason for disagreement
3950,dama ce,positive,the right one
3951,dama haka ne,neutral,that's right
3952,dama mukasamu  ,positive,we having right
3953,dama na,neutral,my right
3954,dama sosai,positive,it is right
3955,dama wani abu ne,neutral,rightness is something
3956,damarsa,positive,his opportunity
3957,dame mu,neutral,bother us
3958,dame shi,negative,bother him
3959,damfaran kafintoci ne,negative,carpenters fraud
3960,damfarar malaman makaranta,negative,the fraud of school teachers
3961,damina ne,neutral,it's winter
3962,damper yana kunne,negative,the damper is on
3963,damun alhaji ne,neutral,it is a pilgrim's concern
3964,damun dattawa akayi,neutral,it is the elders' concern
3965,damun dattawa ne,neutral,it is the elders' concern
3966,damun jama'a,negative,disturb the public
3967,damuwa,negative,distraught 
3968,damuwa ce,negative,it is anxiousness
3969,damuwa ce ke jawo ta,negative,it is anxiousness that is causing it
3970,damuwa ce ta injiniya,neutral,it is a mechanical concern
3971,damuwa ce ta 'yan uwa,neutral,it is a brotherly concern
3972,damuwa da gajiya,negative,stress and fatigue
3973,damuwa da yawa,negative,too much stress
3974,damuwa game da mugayen abokai,negative,worrying about bad friends
3975,damuwa na shari'a,neutral,legal concerns
3976,damuwana ne,neutral,my worries
3977,damuwar baby ce,negative,it is baby anxiety
3978,damuwar bazawara ce,negative,it is a widow's worry
3979,damuwar caca,negative,gambling anxiety
3980,damuwar direba ce,neutral,it is the driver's concern
3981,damuwar karnuka ce,neutral,it is the dogs' concern
3982,damuwar ku,neutral,your concern
3983,damuwar likitoci ce,neutral,it is the doctors' concern
3984,damuwar ma'aikacin lantarki,neutral,electrician's concern
3985,damuwar ma'aurata ce,neutral,it is a couple's concern
3986,damuwar magina ce,neutral,it is the concern of the builders
3987,damuwar magini ne,neutral,it is a builder's concern
3988,damuwar mai zane ce,neutral,it is the painter's concern
3989,damuwar malamai ne,neutral,it is the teachers' concern
3990,damuwar marowa ce,neutral,it is a beggar's concern
3991,damuwar marubuta ce,neutral,it is the authors' concern
3992,damuwar masu aikin sa kai,neutral,concerns of volunteers
3993,damuwar masu bincike,neutral,researchers' concerns
3994,damuwar masu cin zarafi ne,neutral,it is the concern of the bullies
3995,damuwar masu fasaha,neutral,the concern of artists
3996,damuwar masu fenti ne,neutral,it is the concern of painters
3997,damuwar masu harbi,neutral,the concern of shooters
3998,damuwar masu karbar fansho,neutral,concerns of pensioners
3999,damuwar masu kudi ce,positive,it is the concern of the rich
4000,damuwar masu ruwa,neutral,the concerns of the watermen
